id;code;name;description;status;path_url;icon;access_user;update_time;parent_id
1;best-of-breed Shirt;zero administration methodologies;Chips;false;Track;array;true;2020-09-28T03:47:11;72137
2;Managed Pines;payment maximized;auxiliary Montana input;false;Assurance backing up;Nevada AGP Minnesota;false;2020-09-28T07:38:33;88685
3;Mouse Money Market Account;Tactics Bedfordshire;Point parse clear-thinking;false;Corners;global Soft;false;2020-09-28T00:28:59;51966
4;New Hampshire;mission-critical Borders revolutionize;Movies haptic;false;Rustic Rustic Granite Bacon Niger;Fresh discrete;false;2020-09-28T00:53:04;94374
5;policy grid-enabled Jewelery;IB Metal Orchestrator;Ergonomic HTTP;false;Distributed;relationships payment;true;2020-09-28T00:08:59;91308
6;Orchestrator;turquoise online;Intuitive;true;Cotton;tan programming;true;2020-09-28T02:07:46;65442
7;Concrete Executive online;function Garden Fresh;Realigned strategy Garden;false;Bacon payment efficient;payment Alabama Shoes;true;2020-09-27T17:15:07;79864
8;Sports Garden;object-oriented incremental invoice;mobile Crossing deploy;true;Director Island;Administrator users;true;2020-09-28T05:07:41;65504
9;Product;throughput;relationships Samoa;false;solutions;well-modulated Avon Rustic Fresh Ball;false;2020-09-28T03:18:46;585
10;projection payment approach;Configuration Connecticut;Industrial;true;hard drive Pizza;mission-critical Oregon;false;2020-09-27T20:50:42;53701
